config,neigh,comp,instance,run,lower,upper,midpoint
n1_HC,n1,HC,F0.15.0.la21_04,29,1013.0,1156.0,1084.5
n1_HC,n1,HC,F0.15.0.la21_04,30,1002.0,1141.0,1071.5
n1_HC,n1,HC,F0.15.0.la24_03,1,889.0,1012.0,950.5
n1_HC,n1,HC,F0.15.0.la24_03,2,865.0,1019.0,942.0
n1_HC,n1,HC,F0.15.0.la24_03,3,894.0,1048.0,971.0
n1_HC,n1,HC,F0.15.0.la24_03,4,880.0,1026.0,953.0
n1_HC,n1,HC,F0.15.0.la24_03,5,893.0,1025.0,959.0
n1_HC,n1,HC,F0.15.0.la24_03,6,880.0,1039.0,959.5
n1_HC,n1,HC,F0.15.0.la24_03,7,876.0,1013.0,944.5
n1_HC,n1,HC,F0.15.0.la24_03,8,895.0,1051.0,973.0
n1_HC,n1,HC,F0.15.0.la24_03,9,899.0,1041.0,970.0
n1_HC,n1,HC,F0.15.0.la24_03,10,876.0,1013.0,944.5
n1_HC,n1,HC,F0.15.0.la24_03,11,902.0,1024.0,963.0
n1_HC,n1,HC,F0.15.0.la24_03,12,895.0,1051.0,973.0
n1_HC,n1,HC,F0.15.0.la24_03,13,883.0,1019.0,951.0
n1_HC,n1,HC,F0.15.0.la24_03,14,900.0,1024.0,962.0
n1_HC,n1,HC,F0.15.0.la24_03,15,878.0,1013.0,945.5
n1_HC,n1,HC,F0.15.0.la24_03,16,928.0,1041.0,984.5
n1_HC,n1,HC,F0.15.0.la24_03,17,889.0,1028.0,958.5
n1_HC,n1,HC,F0.15.0.la24_03,18,889.0,1030.0,959.5
n1_HC,n1,HC,F0.15.0.la24_03,19,893.0,1025.0,959.0
n1_HC,n1,HC,F0.15.0.la24_03,20,891.0,1034.0,962.5
n1_HC,n1,HC,F0.15.0.la24_03,21,876.0,1013.0,944.5
n1_HC,n1,HC,F0.15.0.la24_03,22,899.0,1013.0,956.0
n1_HC,n1,HC,F0.15.0.la24_03,23,893.0,1025.0,959.0
n1_HC,n1,HC,F0.15.0.la24_03,24,924.0,1047.0,985.5
n1_HC,n1,HC,F0.15.0.la24_03,25,877.0,1027.0,952.0
n1_HC,n1,HC,F0.15.0.la24_03,26,888.0,1028.0,958.0
n1_HC,n1,HC,F0.15.0.la24_03,27,888.0,1028.0,958.0
n1_HC,n1,HC,F0.15.0.la24_03,28,894.0,1048.0,971.0
n1_HC,n1,HC,F0.15.0.la24_03,29,889.0,1028.0,958.5
n1_HC,n1,HC,F0.15.0.la24_03,30,920.0,1020.0,970.0
n1_HC,n1,HC,F0.15.0.la25_04,1,935.0,1054.0,994.5
n1_HC,n1,HC,F0.15.0.la25_04,2,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,3,938.0,1063.0,1000.5
n1_HC,n1,HC,F0.15.0.la25_04,4,958.0,1064.0,1011.0
n1_HC,n1,HC,F0.15.0.la25_04,5,945.0,1072.0,1008.5
n1_HC,n1,HC,F0.15.0.la25_04,6,947.0,1051.0,999.0
n1_HC,n1,HC,F0.15.0.la25_04,7,939.0,1062.0,1000.5
n1_HC,n1,HC,F0.15.0.la25_04,8,924.0,1045.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,9,931.0,1066.0,998.5
n1_HC,n1,HC,F0.15.0.la25_04,10,920.0,1057.0,988.5
n1_HC,n1,HC,F0.15.0.la25_04,11,934.0,1066.0,1000.0
n1_HC,n1,HC,F0.15.0.la25_04,12,932.0,1047.0,989.5
n1_HC,n1,HC,F0.15.0.la25_04,13,964.0,1071.0,1017.5
n1_HC,n1,HC,F0.15.0.la25_04,14,958.0,1066.0,1012.0
n1_HC,n1,HC,F0.15.0.la25_04,15,942.0,1060.0,1001.0
n1_HC,n1,HC,F0.15.0.la25_04,16,938.0,1063.0,1000.5
n1_HC,n1,HC,F0.15.0.la25_04,17,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,18,934.0,1066.0,1000.0
n1_HC,n1,HC,F0.15.0.la25_04,19,956.0,1076.0,1016.0
n1_HC,n1,HC,F0.15.0.la25_04,20,958.0,1064.0,1011.0
n1_HC,n1,HC,F0.15.0.la25_04,21,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,22,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,23,922.0,1062.0,992.0
n1_HC,n1,HC,F0.15.0.la25_04,24,975.0,1072.0,1023.5
n1_HC,n1,HC,F0.15.0.la25_04,25,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la25_04,26,938.0,1063.0,1000.5
n1_HC,n1,HC,F0.15.0.la25_04,27,936.0,1059.0,997.5
n1_HC,n1,HC,F0.15.0.la25_04,28,958.0,1064.0,1011.0
n1_HC,n1,HC,F0.15.0.la25_04,29,923.0,1052.0,987.5
n1_HC,n1,HC,F0.15.0.la25_04,30,917.0,1052.0,984.5
n1_HC,n1,HC,F0.15.0.la27_09,1,1194.0,1352.0,1273.0
n1_HC,n1,HC,F0.15.0.la27_09,2,1187.0,1352.0,1269.5
n1_HC,n1,HC,F0.15.0.la27_09,3,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,4,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,5,1186.0,1352.0,1269.0
n1_HC,n1,HC,F0.15.0.la27_09,6,1187.0,1339.0,1263.0
