neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n8,tai15_15_05.F.15_01,tai15_15,30,1237.0,1247.7,6.0395,33.422
n8,tai15_15_06.F.15_01,tai15_15,30,1258.0,1261.7833,4.3065,32.93
n8,tai15_15_07.F.15_01,tai15_15,30,1234.5,1248.95,11.9101,26.719
n8,tai15_15_08.F.15_01,tai15_15,30,1231.0,1243.5833,9.8323,30.789
n8,tai15_15_09.F.15_01,tai15_15,30,1304.0,1308.8833,5.5966,30.07
n8,tai15_15_10.F.15_01,tai15_15,30,1244.0,1264.6,18.4472,31.352
n8,tai20_15_01.F.15_01,tai20_15,30,1394.5,1415.35,13.2562,65.492
n8,tai20_15_02.F.15_01,tai20_15,30,1389.5,1397.7833,6.7832,58.594
n8,tai20_15_03.F.15_01,tai20_15,30,1369.0,1395.7,12.102,68.398
n8,tai20_15_04.F.15_01,tai20_15,30,1355.0,1371.25,8.3694,55.117
n8,tai20_15_05.F.15_01,tai20_15,30,1376.5,1395.0,9.0639,64.547
n8,tai20_15_06.F.15_01,tai20_15,30,1388.5,1403.9,10.2943,60.188
n8,tai20_15_07.F.15_01,tai20_15,30,1491.5,1508.8833,9.9583,57.703
n8,tai20_15_08.F.15_01,tai20_15,30,1431.5,1457.7667,12.1668,75.156
n8,tai20_15_09.F.15_01,tai20_15,30,1357.5,1390.3833,16.3869,86.328
n8,tai20_15_10.F.15_01,tai20_15,30,1374.5,1395.3667,11.3896,69.625
n8,tai20_20_01.F.15_01,tai20_20,30,1687.0,1705.9833,9.2871,96.828
n8,tai20_20_02.F.15_01,tai20_20,30,1636.0,1654.5833,9.065,90.508
n8,tai20_20_03.F.15_01,tai20_20,30,1585.0,1613.0833,12.8225,85.492
n8,tai20_20_04.F.15_01,tai20_20,30,1666.0,1690.05,13.884,100.516
n8,tai20_20_05.F.15_01,tai20_20,30,1640.5,1664.0667,13.3576,96.852
n8,tai20_20_06.F.15_01,tai20_20,30,1687.0,1719.0667,13.4976,89.0
n8,tai20_20_07.F.15_01,tai20_20,30,1712.0,1735.0833,10.8183,95.094
n8,tai20_20_08.F.15_01,tai20_20,30,1639.0,1657.2,12.0585,98.867
n8,tai20_20_09.F.15_01,tai20_20,30,1648.5,1660.2167,6.3933,82.0
n8,tai20_20_10.F.15_01,tai20_20,30,1617.0,1635.8833,10.3688,102.219
n8,tai30_15_01.F.15_01,tai30_15,30,1773.5,1802.2833,12.8892,171.234
n8,tai30_15_02.F.15_01,tai30_15,30,1842.0,1872.5167,17.87,211.484
n8,tai30_15_03.F.15_01,tai30_15,30,1844.5,1873.2667,14.7009,172.086
n8,tai30_15_04.F.15_01,tai30_15,30,1883.5,1914.1,18.0705,134.578
n8,tai30_15_05.F.15_01,tai30_15,30,2007.0,2012.3333,3.6373,94.047
n8,tai30_15_06.F.15_01,tai30_15,30,1840.5,1871.1167,15.9453,173.539
n8,tai30_15_07.F.15_01,tai30_15,30,1827.0,1842.8333,8.3597,192.188
n8,tai30_15_08.F.15_01,tai30_15,30,1720.0,1747.9333,12.1944,193.312
n8,tai30_15_09.F.15_01,tai30_15,30,1825.0,1841.6,12.7816,142.359
n8,tai30_15_10.F.15_01,tai30_15,30,1730.5,1759.4667,13.3138,152.836
n8,tai30_20_01.F.15_01,tai30_20,30,2103.5,2140.7167,18.4637,257.086
n8,tai30_20_02.F.15_01,tai30_20,30,2007.0,2049.1833,17.909,322.875
n8,tai30_20_03.F.15_01,tai30_20,30,1931.5,1968.0667,19.5337,293.664
n8,tai30_20_04.F.15_01,tai30_20,30,2060.5,2086.6833,18.4655,233.367
n8,tai30_20_05.F.15_01,tai30_20,30,2054.5,2084.3333,19.541,220.031
n8,tai30_20_06.F.15_01,tai30_20,30,2073.0,2127.2,21.7436,275.726
n8,tai30_20_07.F.15_01,tai30_20,30,1993.0,2027.4833,23.8308,273.742
n8,tai30_20_08.F.15_01,tai30_20,30,2031.0,2063.2833,16.7171,267.399
n8,tai30_20_09.F.15_01,tai30_20,30,2023.5,2059.2833,18.5122,229.5
n8,tai30_20_10.F.15_01,tai30_20,30,2023.0,2046.8167,18.8581,264.461
n8,tai50_15_01.F.15_01,tai50_15,30,2760.0,2762.35,5.2901,291.343
n8,tai50_15_02.F.15_01,tai50_15,30,2756.0,2758.7167,5.5518,272.422
n8,tai50_15_03.F.15_01,tai50_15,30,2718.0,2718.35,1.409,233.438
n8,tai50_15_04.F.15_01,tai50_15,30,2839.0,2840.0,3.8056,158.086
n8,tai50_15_05.F.15_01,tai50_15,30,2688.0,2702.5333,13.2587,406.953
n8,tai50_15_06.F.15_01,tai50_15,30,2784.0,2790.25,6.7604,257.992
n8,tai50_15_07.F.15_01,tai50_15,30,2943.0,2943.0,0.0,197.109
