algo,inst,arm,t,bestcmax
abce3,ft10,V2H,23.4,952.10
abce3,ft10,V2H,23.6,952.10
abce3,ft10,V2H,23.8,952.10
abce3,ft10,V2H,24.0,952.10
abce3,ft10,V2H,24.2,952.10
abce3,ft10,V2H,24.4,952.10
abce3,ft10,V2H,24.6,952.10
abce3,ft10,V2H,24.8,952.10
abce3,ft10,V2H,25.0,952.10
abce3,ft10,V2H,25.2,948.40
abce3,ft10,V2H,25.4,948.40
abce3,ft10,V2H,25.6,948.40
abce3,ft10,V2H,25.8,948.40
abce3,ft10,V2H,26.0,948.40
abce3,ft10,V2H,26.2,948.40
abce3,ft10,V2H,26.4,948.40
abce3,ft10,V2H,26.6,948.40
abce3,ft10,V2H,26.8,948.40
abce3,ft10,V2H,27.0,948.40
abce3,ft10,V2H,27.2,948.40
abce3,ft10,V2H,27.4,948.40
abce3,ft10,V2H,27.6,948.40
abce3,ft10,V2H,27.8,948.40
abce3,ft10,V2H,28.0,948.40
abce3,ft10,V2H,28.2,948.40
abce3,ft10,V2H,28.4,948.40
abce3,ft10,V2H,28.6,948.40
abce3,ft10,V2H,28.8,948.40
abce3,ft10,V2H,29.0,948.40
abce3,ft10,V2H,29.2,948.40
abce3,ft10,V2H,29.4,948.40
abce3,ft10,V2H,29.6,948.40
abce3,ft10,V2H,29.8,948.40
abce3,ft10,V2H,30.0,948.40
abce3,ft10,V2H,30.2,948.40
abce3,ft10,V2H,30.4,948.40
abce3,ft10,V2H,30.6,948.40
abce3,ft10,V2H,30.8,948.40
abce3,ft10,V2H,31.0,948.40
abce3,ft10,V2H,31.2,948.40
abce3,ft10,V2H,31.4,948.40
abce3,ft10,V2H,31.6,948.40
abce3,ft10,V2H,31.8,948.40
abce3,ft10,V2H,32.0,948.40
abce3,ft10,V2H,32.2,948.40
abce3,ft10,V2H,32.4,948.40
abce3,ft10,V2H,32.6,948.40
abce3,ft10,V2H,32.8,948.40
abce3,ft10,V2H,33.0,948.40
abce3,ft10,V2H,33.2,948.40
abce3,ft10,V2H,33.4,948.40
abce3,ft10,V2H,33.6,948.40
abce3,ft10,V2H,33.8,948.40
abce3,ft10,V2H,34.0,948.40
abce3,ft10,V2H,34.2,948.40
abce3,ft10,V2H,34.4,948.40
abce3,ft10,V2H,34.6,948.40
abce3,ft10,V2H,34.8,948.40
abce3,ft10,V2H,35.0,948.40
abce3,ft10,V2H,35.2,948.80
abce3,ft10,V2H,35.4,948.80
abce3,ft10,V2H,35.6,948.80
abce3,ft10,V2H,35.8,948.80
abce3,ft10,V2H,36.0,948.80
abce3,ft10,V2H,36.2,948.80
abce3,ft10,V2H,36.4,948.80
abce3,ft10,V2H,36.6,948.80
abce3,ft10,V2H,36.8,948.80
abce3,ft10,V2H,37.0,948.80
abce3,ft10,V2H,37.2,948.80
abce3,ft10,V2H,37.4,948.80
abce3,ft10,V2H,37.6,948.80
abce3,ft10,V2H,37.8,948.80
abce3,ft10,V2H,38.0,948.80
abce3,ft10,V2H,38.2,948.80
abce3,ft10,V2H,38.4,948.80
abce3,ft10,V2H,38.6,948.80
abce3,ft10,V2H,38.8,948.80
abce3,ft10,V2H,39.0,948.80
abce3,ft10,V2H,39.2,948.80
abce3,ft10,V2H,39.4,948.80
abce3,ft10,V2H,39.6,948.80
abce3,ft10,V2H,39.8,948.80
abce3,ft10,V2H,40.0,955.30
abce3,ft10,V2H,40.2,954.30
abce3,ft10,V2H,40.4,954.30
abce3,ft10,V2H,40.6,954.30
abce3,ft10,V2H,40.8,954.30
abce3,ft10,V2H,41.0,954.30
abce3,ft10,V2H,41.2,954.30
abce3,ft10,V2H,41.4,954.30
abce3,ft10,V2H,41.6,954.30
abce3,ft10,V2H,41.8,954.30
abce3,ft10,V2H,42.0,954.30
abce3,ft10,V2H,42.2,954.30
abce3,ft10,V2H,42.4,954.30
abce3,ft10,V2H,42.6,954.30
abce3,ft10,V2H,42.8,954.30
abce3,ft10,V2H,43.0,954.30
abce3,ft10,V2H,43.2,954.30
