algo,inst,run,t,v
ga,tai15_15_01,8,40.000,1296.500
ga,tai15_15_01,8,45.000,1296.500
ga,tai15_15_01,8,50.000,1296.500
ga,tai15_15_01,8,55.000,1296.500
ga,tai15_15_01,8,60.000,1296.500
ga,tai15_15_01,9,0.016,1546.000
ga,tai15_15_01,9,5.000,1316.000
ga,tai15_15_01,9,10.000,1298.500
ga,tai15_15_01,9,15.000,1298.500
ga,tai15_15_01,9,20.000,1298.500
ga,tai15_15_01,9,25.000,1298.500
ga,tai15_15_01,9,30.000,1298.500
ga,tai15_15_01,9,35.000,1298.500
ga,tai15_15_01,9,40.000,1298.500
ga,tai15_15_01,9,45.000,1298.500
ga,tai15_15_01,9,50.000,1298.500
ga,tai15_15_01,9,55.000,1298.500
ga,tai15_15_01,9,60.000,1298.500
ga,tai15_15_01,10,0.031,1519.500
ga,tai15_15_01,10,5.000,1291.500
ga,tai15_15_01,10,10.000,1285.000
ga,tai15_15_01,10,15.000,1285.000
ga,tai15_15_01,10,20.000,1285.000
ga,tai15_15_01,10,25.000,1285.000
ga,tai15_15_01,10,30.000,1285.000
ga,tai15_15_01,10,35.000,1285.000
ga,tai15_15_01,10,40.000,1285.000
ga,tai15_15_01,10,45.000,1285.000
ga,tai15_15_01,10,50.000,1285.000
ga,tai15_15_01,10,55.000,1285.000
ga,tai15_15_01,10,60.000,1285.000
ga,tai15_15_01,11,0.031,1547.000
ga,tai15_15_01,11,5.000,1296.500
ga,tai15_15_01,11,10.000,1296.500
ga,tai15_15_01,11,15.000,1296.500
ga,tai15_15_01,11,20.000,1296.500
ga,tai15_15_01,11,25.000,1296.500
ga,tai15_15_01,11,30.000,1296.500
ga,tai15_15_01,11,35.000,1296.500
ga,tai15_15_01,11,40.000,1296.500
ga,tai15_15_01,11,45.000,1284.000
ga,tai15_15_01,11,50.000,1284.000
ga,tai15_15_01,11,55.000,1284.000
ga,tai15_15_01,11,60.000,1284.000
ga,tai15_15_01,12,0.031,1533.500
ga,tai15_15_01,12,5.000,1330.500
ga,tai15_15_01,12,10.000,1314.000
ga,tai15_15_01,12,15.000,1309.000
ga,tai15_15_01,12,20.000,1307.000
ga,tai15_15_01,12,25.000,1303.000
ga,tai15_15_01,12,30.000,1302.000
ga,tai15_15_01,12,35.000,1300.000
ga,tai15_15_01,12,40.000,1300.000
ga,tai15_15_01,12,45.000,1300.000
ga,tai15_15_01,12,50.000,1300.000
ga,tai15_15_01,12,55.000,1300.000
ga,tai15_15_01,12,60.000,1300.000
ga,tai15_15_01,13,0.016,1559.000
ga,tai15_15_01,13,5.000,1315.500
ga,tai15_15_01,13,10.000,1313.000
ga,tai15_15_01,13,15.000,1313.000
ga,tai15_15_01,13,20.000,1313.000
ga,tai15_15_01,13,25.000,1313.000
ga,tai15_15_01,13,30.000,1313.000
ga,tai15_15_01,13,35.016,1313.000
ga,tai15_15_01,13,40.000,1313.000
ga,tai15_15_01,13,45.000,1311.500
ga,tai15_15_01,13,50.000,1311.500
ga,tai15_15_01,13,55.000,1311.500
ga,tai15_15_01,13,60.000,1311.500
ga,tai15_15_01,14,0.016,1574.500
ga,tai15_15_01,14,5.000,1326.500
ga,tai15_15_01,14,10.000,1311.500
ga,tai15_15_01,14,15.000,1311.500
ga,tai15_15_01,14,20.000,1311.500
ga,tai15_15_01,14,25.000,1311.500
ga,tai15_15_01,14,30.000,1311.500
ga,tai15_15_01,14,35.000,1311.500
ga,tai15_15_01,14,40.000,1311.500
ga,tai15_15_01,14,45.000,1311.500
ga,tai15_15_01,14,50.000,1311.500
ga,tai15_15_01,14,55.000,1311.500
ga,tai15_15_01,14,60.000,1311.500
ga,tai15_15_01,15,0.031,1510.500
ga,tai15_15_01,15,5.000,1326.000
ga,tai15_15_01,15,10.000,1311.500
ga,tai15_15_01,15,15.000,1311.500
ga,tai15_15_01,15,20.000,1311.500
ga,tai15_15_01,15,25.000,1311.500
ga,tai15_15_01,15,30.000,1311.500
ga,tai15_15_01,15,35.000,1311.500
ga,tai15_15_01,15,40.000,1311.500
ga,tai15_15_01,15,45.000,1311.500
ga,tai15_15_01,15,50.016,1311.500
ga,tai15_15_01,15,55.000,1311.500
ga,tai15_15_01,15,60.000,1311.500
ga,tai15_15_01,16,0.031,1561.500
ga,tai15_15_01,16,5.000,1297.000
ga,tai15_15_01,16,10.000,1297.000
ga,tai15_15_01,16,15.000,1285.500
ga,tai15_15_01,16,20.000,1285.500
ga,tai15_15_01,16,25.000,1285.500
ga,tai15_15_01,16,30.000,1285.500
ga,tai15_15_01,16,35.000,1285.500
ga,tai15_15_01,16,40.000,1285.500
ga,tai15_15_01,16,45.000,1285.500
ga,tai15_15_01,16,50.000,1285.500
ga,tai15_15_01,16,55.000,1285.500
ga,tai15_15_01,16,60.000,1285.500
ga,tai15_15_01,17,0.016,1570.000
ga,tai15_15_01,17,5.000,1311.500
ga,tai15_15_01,17,10.000,1311.500
ga,tai15_15_01,17,15.000,1311.500
ga,tai15_15_01,17,20.000,1311.500
ga,tai15_15_01,17,25.000,1311.500
ga,tai15_15_01,17,30.000,1311.500
ga,tai15_15_01,17,35.000,1311.500
ga,tai15_15_01,17,40.000,1311.500
ga,tai15_15_01,17,45.000,1311.500
ga,tai15_15_01,17,50.000,1311.500
ga,tai15_15_01,17,55.000,1311.500
ga,tai15_15_01,17,60.000,1311.500
ga,tai15_15_01,18,0.016,1520.500
ga,tai15_15_01,18,5.000,1317.500
ga,tai15_15_01,18,10.000,1296.500
ga,tai15_15_01,18,15.000,1296.500
ga,tai15_15_01,18,20.000,1296.500
ga,tai15_15_01,18,25.000,1296.500
ga,tai15_15_01,18,30.000,1295.500
ga,tai15_15_01,18,35.000,1295.000
ga,tai15_15_01,18,40.000,1293.000
ga,tai15_15_01,18,45.000,1289.000
ga,tai15_15_01,18,50.000,1286.000
ga,tai15_15_01,18,55.000,1286.000
