"algo","inst","q_a0","q_arm","q_pool","gap","delta","ayuda"
"feabcls","tai30_20_04",2073.56666666667,2068.18333333333,2444.88,17.9069879595544,-0.259617084893977,TRUE
"feabcls","tai30_20_05",2079,2064.3,2401.51,15.5127465127465,-0.707070707070698,TRUE
"feabcls","tai30_20_06",2113.56666666667,2100.65,2448.12,15.8288517040705,-0.611131263109744,TRUE
"feabcls","tai30_20_07",2006.06666666667,2006.98333333333,2278.1,13.5605330497491,0.0456947259978104,FALSE
"feabcls","tai30_20_08",2054.11666666667,2067.38333333333,2386.48,16.180353274319,0.645857505659355,FALSE
"feabcls","tai30_20_09",2045.65,2039.1,2444.79,19.5116466648742,-0.320191626133512,TRUE
"feabcls","tai30_20_10",2049,2041.36666666667,2413.7,17.7989263055149,-0.372539450138284,TRUE
"feabcls","tai50_15_01",2760.38333333333,2761.78333333333,3392.87,22.9130012135996,0.0507175935709445,FALSE
"feabcls","tai50_15_02",2757.75,2758.06666666667,3238.63,17.4374036805367,0.0114827909225494,FALSE
"feabcls","tai50_15_03",2718.6,2718,3123.04,14.8767748105643,-0.0220701831825171,TRUE
"feabcls","tai50_15_04",2839,2839.1,3151.73,11.0154984149348,0.00352236703064139,FALSE
"feabcls","tai50_15_05",2697.68333333333,2698.98333333333,3241.42,20.1556891406824,0.0481894959255062,FALSE
"feabcls","tai50_15_06",2784.38333333333,2786.65,3201.25,14.9715975410474,0.0814064155438444,FALSE
"feabcls","tai50_15_07",2943.06666666667,2943,3412.13,15.937910569474,-0.0022652108911319,TRUE
"feabcls","tai50_15_08",2905,2905,3325.47,14.4740103270224,0,FALSE
"feabcls","tai50_15_09",2670.15,2667.88333333333,3203.19,19.9629234312679,-0.084889113595374,TRUE
"feabcls","tai50_15_10",2730.56666666667,2731.05,3104.93,13.7100968053029,0.0177008435367595,FALSE
"feabcls","tai50_20_01",2955.85,2972.3,3439.25,16.3540098448839,0.556523504237369,FALSE
"feabcls","tai50_20_02",3039.5,3034.31666666667,3470.71,14.1868728409278,-0.170532434062622,TRUE
"feabcls","tai50_20_03",2848.26666666667,2854.65,3257.77,14.377282089692,0.22411291077614,FALSE
"feabcls","tai50_20_04",2775.03333333333,2793.81666666667,3126.76,12.6746825863954,0.676868746321364,FALSE
"feabcls","tai50_20_05",2834.78333333333,2834.2,3331.53,17.5232675042772,-0.0205777043513079,TRUE
"feabcls","tai50_20_06",2931.51666666667,2952.25,3371.13,14.9961055426372,0.707256198441073,FALSE
"feabcls","tai50_20_07",2922.61666666667,2923.1,3337.22,14.1860319234476,0.0165376916803933,FALSE
"feabcls","tai50_20_08",2841.7,2854.38333333333,3224.33,13.4648273920541,0.446329075318767,FALSE
"feabcls","tai50_20_09",3113.06666666667,3128.05,3571.28,14.7190337502142,0.481304608531788,FALSE
"feabcls","tai50_20_10",3127.6,3119.65,3615.49,15.5995012149891,-0.254188515155385,TRUE
