"inst","clase","arm","frac","rpd"
"tai30_15_08","30x15","A0",1,-0.924657534246578
"tai30_15_08","30x15","V2H",1,-0.639269406392697
"tai30_15_08","30x15","V2",1,-0.673515981735157
"tai30_15_08","30x15","MOR",1,0.816210045662098
"tai30_15_08","30x15","GT",1,0.382420091324204
"tai30_15_08","30x15","GP",1,-0.365296803652973
"tai30_15_08","30x15","MIX",1,-0.211187214611875
"tai30_15_09","30x15","A0",0.05,6.79449095328112
"tai30_15_09","30x15","V2H",0.05,7.41560896570348
"tai30_15_09","30x15","V2",0.05,7.12395355117473
"tai30_15_09","30x15","MOR",0.05,6.00054010261949
"tai30_15_09","30x15","GT",0.05,6.05455036456926
"tai30_15_09","30x15","GP",0.05,5.10396975425331
"tai30_15_09","30x15","MIX",0.05,5.69268160950581
"tai30_15_09","30x15","A0",0.1,2.9165541452876
"tai30_15_09","30x15","V2H",0.1,2.78152849041318
"tai30_15_09","30x15","V2",0.1,3.18660545503646
"tai30_15_09","30x15","MOR",0.1,3.81312449365379
"tai30_15_09","30x15","GT",0.1,3.37024034566568
"tai30_15_09","30x15","GP",0.1,2.2576289495004
"tai30_15_09","30x15","MIX",0.1,4.36943019173644
"tai30_15_09","30x15","A0",0.25,0.0810153929246557
"tai30_15_09","30x15","V2H",0.25,0.226843100189038
"tai30_15_09","30x15","V2",0.25,-0.38887388603835
"tai30_15_09","30x15","MOR",0.25,1.33405347015933
"tai30_15_09","30x15","GT",0.25,1.3880637321091
"tai30_15_09","30x15","GP",0.25,0.0918174453146122
"tai30_15_09","30x15","MIX",0.25,0.383472859843365
"tai30_15_09","30x15","A0",0.5,-0.664326221982174
"tai30_15_09","30x15","V2H",0.5,-0.907372400756141
"tai30_15_09","30x15","V2",0.5,-0.928976505536054
"tai30_15_09","30x15","MOR",0.5,0.907372400756141
"tai30_15_09","30x15","GT",0.5,0.248447204968939
"tai30_15_09","30x15","GP",0.5,-0.594112881447475
"tai30_15_09","30x15","MIX",0.5,-0.750742641101814
"tai30_15_09","30x15","A0",1,-0.756143667296786
